ID,escaneado,fonte,Ano,Decada,Condenação,Multa,TC,Relevante,Limítrofe,Motivo,
19957-010926-2022-56,Não,ESJ,2022,2020,,,,,,,
IA-2002-16,Não,ESJ,2002,2000,,,,,,,
RJ-2012-03168,Não,ESJ,2012,2010,,,,,,,
19957-011609-2017-90,Não,PCTC,2017,2010,,,,,,,
IA-2003-17,Não,PCTC,2003,2000,,,,,,,
RJ-2002-05015,Não,ESJ,2002,2000,,,,,,,
RJ-2007-03820,Não,PCTC,2007,2000,,,,,,,
19957-010573-2019-99,Não,ESJ,2019,2010,,,,,,,
SP-2004-00185,Não,ESJ,2004,2000,,,,,,,
RJ-2003-11503,Não,ESJ,2003,2000,,,,,,,
19957-008782-2016-20,Não,PCTC,2016,2010,,,,,,,
RJ-2014-10630,Não,ESJ,2014,2010,,,,,,,
IA-2003-01,Não,ESJ,2003,2000,,,,,,,
19957-003262-2015-40,Não,PCTC,2015,2010,,,,,,,
19957-006242-2017-92,Não,PCTC,2017,2010,,,,,,,
IA-2012-01,Não,PCTC,2012,2010,,,,,,,
RJ-2006-04778,Não,ESJ,2006,2000,,,,,,,
19957-001606-2020-43,Não,ESJ,2020,2020,,,,,,,
RJ-2010-04206,Não,ESJ,2010,2010,,,,,,,
19957-000592-2015-83,Não,ESJ,2015,2010,,,,,,,
IA-2008-07,Não,PCTC,2008,2000,,,,,,,
19957-010177-2022-67,Não,PCTC,2022,2020,,,,,,,
19957-006434-2018-80,Sim,ESJ,2018,2010,,,,,,,
IA-2005-21,Não,PCTC,2005,2000,,,,,,,
19957-003084-2023-67,Não,PCTC,2023,2020,,,,,,,
19957-003612-2020-35,Não,PCTC,2020,2020,,,,,,,
RJ-2014-02099,Não,ESJ,2014,2010,,,,,,,
19957-004930-2016-37,Sim,ESJ,2016,2010,,,,,,,
RJ-2013-00144,Não,PCTC,2013,2010,,,,,,,
IA-2000-21,Não,ESJ,2000,2000,,,,,,,
SP-2007-00113,Não,ESJ,2007,2000,,,,,,,
19957-007809-2018-29,Não,ESJ,2018,2010,,,,,,,
19957-005332-2018-47,Não,PCTC,2018,2010,,,,,,,
19957-005248-2021-29,Não,ESJ,2021,2020,,,,,,,
RJ-2016-09174,Não,PCTC,2016,2010,,,,,,,
19957-003922-2020-50,Não,ESJ,2020,2020,,,,,,,
SP-2004-00106,Não,ESJ,2004,2000,,,,,,,
SP-2005-00155,Não,PCTC,2005,2000,,,,,,,
RJ-2015-08673,Não,ESJ,2015,2010,,,,,,,
RJ-2015-11471,Não,ESJ,2015,2010,,,,,,,
IA-1993-09,Não,ESJ,1993,1990,,,,,,,
19957-001089-2020-11,Não,ESJ,2020,2020,,,,,,,
SP-2003-00466,Não,ESJ,2003,2000,,,,,,,
IA-2007-07,Não,ESJ,2007,2000,,,,,,,
19957-001493-2016-08,Não,PCTC,2016,2010,,,,,,,
19957-003084-2016-38,Sim,ESJ,2016,2010,,,,,,,
IA-1999-19,Não,ESJ,1999,1990,,,,,,,
19957-009217-2018-41,Não,PCTC,2018,2010,,,,,,,
IA-2006-17,Não,ESJ,2006,2000,,,,,,,
SP-2002-00487,Não,ESJ,2002,2000,,,,,,,
19957-012433-2022-51,Não,PCTC,2022,2020,,,,,,,
RJ-2010-15761,Não,PCTC,2010,2010,,,,,,,
19957-000791-2020-59,Não,PCTC,2020,2020,,,,,,,
RJ-2014-04608,Não,ESJ,2014,2010,,,,,,,
RJ-2012-09652,Não,ESJ,2012,2010,,,,,,,
RJ-2001-07749,Não,ESJ,2001,2000,,,,,,,
19957-009525-2018-77,Não,ESJ,2018,2010,,,,,,,
19957-001575-2018-14,Não,PCTC,2018,2010,,,,,,,
SP-2003-00152,Não,ESJ,2003,2000,,,,,,,
RJ-2014-12710,Não,ESJ,2014,2010,,,,,,,
RJ-2010-01737,Não,ESJ,2010,2010,,,,,,,
RJ-2002-05101,Não,ESJ,2002,2000,,,,,,,
RJ-2006-08798,Não,PCTC,2006,2000,,,,,,,
RJ-2007-03428,Não,PCTC,2007,2000,,,,,,,
RJ-2006-05863,Não,ESJ,2006,2000,,,,,,,
19957-000589-2024-51,Não,PCTC,2024,2020,,,,,,,
RJ-2005-07782,Não,PCTC,2005,2000,,,,,,,
RJ-2002-06982,Não,ESJ,2002,2000,,,,,,,
RJ-2011-14514,Não,ESJ,2011,2010,,,,,,,
RJ-2007-08556,Não,PCTC,2007,2000,,,,,,,
IA-1999-02,Não,ESJ,1999,1990,,,,,,,
RJ-2014-09994,Não,PCTC,2014,2010,,,,,,,
RJ-2011-13095,Não,ESJ,2011,2010,,,,,,,
RJ-2012-03457,Não,ESJ,2012,2010,,,,,,,
RJ-2006-01623,Não,ESJ,2006,2000,,,,,,,
RJ-2012-04136,Não,ESJ,2012,2010,,,,,,,
19957-000786-2021-27,Não,PCTC,2021,2020,,,,,,,
RJ-2011-08755,Não,PCTC,2011,2010,,,,,,,
19957-003189-2017-78,Não,PCTC,2017,2010,,,,,,,
19957-005390-2017-90,Não,ESJ,2017,2010,,,,,,,
IA-2006-22,Não,PCTC,2006,2000,,,,,,,
RJ-2008-04768,Não,ESJ,2008,2000,,,,,,,
SP-2003-00445,Não,ESJ,2003,2000,,,,,,,
19957-012414-2022-24,Não,ESJ,2022,2020,,,,,,,
IA-1999-03,Não,ESJ,1999,1990,,,,,,,
RJ-2006-03295,Não,ESJ,2006,2000,,,,,,,
19957-011588-2017-11,Não,PCTC,2017,2010,,,,,,,
RJ-2005-03182,Não,ESJ,2005,2000,,,,,,,
19957-011244-2019-65,Não,ESJ,2019,2010,,,,,,,
19957-008086-2019-66,Não,ESJ,2019,2010,,,,,,,
RJ-2014-10290,Não,ESJ,2014,2010,,,,,,,
RJ-2016-02965,Não,ESJ,2016,2010,,,,,,,
RJ-2011-08755,Não,PCTC,2011,2010,,,,,,,
19957-003454-2017-18,Não,PCTC,2017,2010,,,,,,,
RJ-2010-02419,Não,PCTC,2010,2010,,,,,,,
19957-009401-2019-72,Não,PCTC,2019,2010,,,,,,,
RJ-2005-07507,Não,ESJ,2005,2000,,,,,,,
SP-2003-00288,Não,ESJ,2003,2000,,,,,,,
19957-010842-2017-55,Não,PCTC,2017,2010,,,,,,,
IA-1994-06,Não,ESJ,1994,1990,,,,,,,
RJ-2006-01266,Não,ESJ,2006,2000,,,,,,,
RJ-2012-09808,Não,ESJ,2012,2010,,,,,,,
RJ-2006-05820,Não,PCTC,2006,2000,,,,,,,
SP-2004-00123,Não,ESJ,2004,2000,,,,,,,
RJ-2007-14515,Não,ESJ,2007,2000,,,,,,,
RJ-2007-04107,Não,ESJ,2007,2000,,,,,,,
19957-003269-2019-95,Não,ESJ,2019,2010,,,,,,,
19957-008462-2019-12,Não,ESJ,2019,2010,,,,,,,
SP-2005-00268,Não,PCTC,2005,2000,,,,,,,
RJ-2013-01402,Não,ESJ,2013,2010,,,,,,,
19957-002385-2016-44,Sim,ESJ,2016,2010,,,,,,,
IA-1998-24,Não,ESJ,1998,1990,,,,,,,
19957-006624-2021-01,Não,PCTC,2021,2020,,,,,,,
RJ-2009-09579,Não,PCTC,2009,2000,,,,,,,
RJ-2009-13169,Não,PCTC,2009,2000,,,,,,,
19957-011992-2023-24,Não,PCTC,2023,2020,,,,,,,
19957-010074-2017-30,Não,PCTC,2017,2010,,,,,,,
19957-005789-2017-71,Não,ESJ,2017,2010,,,,,,,
RJ-2005-06764,Não,ESJ,2005,2000,,,,,,,
19957-003549-2018-12,Não,ESJ,2018,2010,,,,,,,
19957-011629-2017-61,Não,ESJ,2017,2010,,,,,,,
IA-2014-01,Não,ESJ,2014,2010,,,,,,,
RJ-2013-13480,Não,ESJ,2013,2010,,,,,,,
19957-005572-2019-22,Não,PCTC,2019,2010,,,,,,,
RJ-2005-07229,Não,ESJ,2005,2000,,,,,,,
19957-004747-2021-07,Não,PCTC,2021,2020,,,,,,,
19957-008986-2020-47,Não,ESJ,2020,2020,,,,,,,
RJ-2009-02610,Não,ESJ,2009,2000,,,,,,,
19957-001413-2015-25,Não,PCTC,2015,2010,,,,,,,
IA-2008-05,Não,ESJ,2008,2000,,,,,,,
19957-009400-2019-28,Não,ESJ,2019,2010,,,,,,,
RJ-2015-12130,Não,ESJ,2015,2010,,,,,,,
RJ-2015-12090,Não,ESJ,2015,2010,,,,,,,
19957-008430-2018-36,Não,PCTC,2018,2010,,,,,,,
RJ-2008-10874,Não,ESJ,2008,2000,,,,,,,
RJ-2005-04357,Não,PCTC,2005,2000,,,,,,,
RJ-2004-05131,Não,ESJ,2004,2000,,,,,,,
IA-2005-01,Não,ESJ,2005,2000,,,,,,,
IA-2000-12,Não,ESJ,2000,2000,,,,,,,
RJ-2013-02023,Não,ESJ,2013,2010,,,,,,,
19957-014436-2022-29,Não,PCTC,2022,2020,,,,,,,
IA-2000-22,Não,ESJ,2000,2000,,,,,,,
RJ-2009-04164,Não,PCTC,2009,2000,,,,,,,
IA-1999-35,Não,ESJ,1999,1990,,,,,,,
19957-010956-2017-03,Não,ESJ,2017,2010,,,,,,,
RJ-2011-07937,Não,ESJ,2011,2010,,,,,,,
RJ-2012-05036,Não,PCTC,2012,2010,,,,,,,
RJ-2013-05582,Não,PCTC,2013,2010,,,,,,,
19957-009452-2018-13,Não,ESJ,2018,2010,,,,,,,
RJ-2012-11094,Não,PCTC,2012,2010,,,,,,,
RJ-2012-12931,Não,PCTC,2012,2010,,,,,,,
RJ-2012-00869,Não,PCTC,2012,2010,,,,,,,
RJ-2014-10082,Não,ESJ,2014,2010,,,,,,,
IA-2005-24,Não,ESJ,2005,2000,,,,,,,
19957-004679-2016-19,Sim,ESJ,2016,2010,,,,,,,
RJ-2008-10703,Não,PCTC,2008,2000,,,,,,,
RJ-2011-14167,Não,PCTC,2011,2010,,,,,,,
19957-004454-2021-11,Não,PCTC,2021,2020,,,,,,,
IA-2001-05,Não,ESJ,2001,2000,,,,,,,
RJ-2006-08572,Não,PCTC,2006,2000,,,,,,,
RJ-2009-08316,Não,ESJ,2009,2000,,,,,,,
SP-2006-00168,Não,ESJ,2006,2000,,,,,,,
RJ-2003-00823,Não,ESJ,2003,2000,,,,,,,
19957-006363-2017-34,Sim,ESJ,2017,2010,,,,,,,
RJ-2013-05634,Não,ESJ,2013,2010,,,,,,,
RJ-2006-04234,Não,PCTC,2006,2000,,,,,,,
19957-010223-2019-22,Não,ESJ,2019,2010,,,,,,,
RJ-2007-03822,Não,ESJ,2007,2000,,,,,,,
19957-008782-2016-20,Não,PCTC,2016,2010,,,,,,,
19957-010154-2021-71,Não,PCTC,2021,2020,,,,,,,
19957-001493-2016-08,Não,PCTC,2016,2010,,,,,,,
19957-011355-2017-18,Não,PCTC,2017,2010,,,,,,,
19957-004675-2018-94,Não,PCTC,2018,2010,,,,,,,
19957-000907-2024-83,Não,PCTC,2024,2020,,,,,,,
19957-003593-2018-22,Sim,ESJ,2018,2010,,,,,,,
IA-2003-28,Não,ESJ,2003,2000,,,,,,,
SP-2004-00693,Não,ESJ,2004,2000,,,,,,,
19957-005801-2019-17,Não,ESJ,2019,2010,,,,,,,
RJ-2007-13207,Não,ESJ,2007,2000,,,,,,,
RJ-2012-08371,Não,PCTC,2012,2010,,,,,,,
19957-007579-2017-17,Não,PCTC,2017,2010,,,,,,,
RJ-2003-05849,Não,ESJ,2003,2000,,,,,,,
SP-2001-00799,Não,ESJ,2001,2000,,,,,,,
IA-2009-09,Não,ESJ,2009,2000,,,,,,,
IA-2004-15,Não,ESJ,2004,2000,,,,,,,
RJ-2013-04367,Não,ESJ,2013,2010,,,,,,,
19957-007430-2019-08,Não,ESJ,2019,2010,,,,,,,
19957-009778-2018-41,Não,ESJ,2018,2010,,,,,,,
IA-2009-03,Não,ESJ,2009,2000,,,,,,,
RJ-2013-04369,Não,ESJ,2013,2010,,,,,,,
IA-2010-02,Não,ESJ,2010,2010,,,,,,,
SP-2010-00178,Não,ESJ,2010,2010,,,,,,,
RJ-2007-05041,Não,PCTC,2007,2000,,,,,,,
SP-2001-00003,Não,ESJ,2001,2000,,,,,,,
19957-006799-2019-95,Não,PCTC,2019,2010,,,,,,,
RJ-2012-01606,Não,ESJ,2012,2010,,,,,,,
19957-007755-2021-05,Não,ESJ,2021,2020,,,,,,,
19957-003514-2019-64,Não,PCTC,2019,2010,,,,,,,
RJ-2009-03952,Não,PCTC,2009,2000,,,,,,,
19957-010829-2019-68,Não,PCTC,2019,2010,,,,,,,
SP-2003-00070,Não,ESJ,2003,2000,,,,,,,
19957-010904-2018-18,Não,ESJ,2018,2010,,,,,,,
RJ-2013-01205,Não,PCTC,2013,2010,,,,,,,
IA-1999-18,Não,ESJ,1999,1990,,,,,,,
19957-009556-2018-28,Não,ESJ,2018,2010,,,,,,,
19957-002653-2016-28,Não,ESJ,2016,2010,,,,,,,
RJ-2005-05041,Não,ESJ,2005,2000,,,,,,,
00783-000207-2015-17,Não,ESJ,2015,2010,,,,,,,
RJ-2007-03167,Não,PCTC,2007,2000,,,,,,,
RJ-2017-00017,Não,ESJ,2017,2010,,,,,,,
RJ-2007-00119,Não,PCTC,2007,2000,,,,,,,
19957-005949-2016-09,Não,ESJ,2016,2010,,,,,,,
19957-011171-2017-40,Não,ESJ,2017,2010,,,,,,,
RJ-2017-01582,Não,ESJ,2017,2010,,,,,,,
19957-008514-2019-51,Não,PCTC,2019,2010,,,,,,,
19957-004737-2017-87,Não,ESJ,2017,2010,,,,,,,
19957-006438-2017-87,Sim,ESJ,2017,2010,,,,,,,
IA-2007-06,Não,ESJ,2007,2000,,,,,,,
RJ-2013-10172,Não,PCTC,2013,2010,,,,,,,
19957-007822-2016-16,Não,PCTC,2016,2010,,,,,,,
19957-004869-2021-95,Não,ESJ,2021,2020,,,,,,,
19957-003454-2017-18,Não,PCTC,2017,2010,,,,,,,
IA-2006-24,Não,ESJ,2006,2000,,,,,,,
19957-004489-2022-31,Não,PCTC,2022,2020,,,,,,,
RJ-2000-06498,Não,ESJ,2000,2000,,,,,,,
RJ-2001-04635,Não,ESJ,2001,2000,,,,,,,
RJ-2013-07880,Não,PCTC,2013,2010,,,,,,,
IA-2001-08,Não,ESJ,2001,2000,,,,,,,
RJ-2008-08572,Não,ESJ,2008,2000,,,,,,,
IA-2005-22,Não,ESJ,2005,2000,,,,,,,
19957-010256-2019-72,Não,ESJ,2019,2010,,,,,,,
RJ-2005-05442,Não,ESJ,2005,2000,,,,,,,
19957-007030-2019-94,Não,PCTC,2019,2010,,,,,,,
19957-004923-2016-35,Não,PCTC,2016,2010,,,,,,,
IA-1998-17,Não,ESJ,1998,1990,,,,,,,
RJ-2014-10384,Não,PCTC,2014,2010,,,,,,,
RJ-2009-06832,Não,PCTC,2009,2000,,,,,,,
19957-004542-2020-32,Não,PCTC,2020,2020,,,,,,,
19957-007008-2019-44,Não,PCTC,2019,2010,,,,,,,
IA-2000-17,Não,ESJ,2000,2000,,,,,,,
RJ-2007-02900,Não,PCTC,2007,2000,,,,,,,
19957-010224-2019-77,Não,PCTC,2019,2010,,,,,,,
19957-005452-2016-82,Não,ESJ,2016,2010,,,,,,,
19957-009864-2019-34,Não,ESJ,2019,2010,,,,,,,
19957-006547-2019-66,Não,ESJ,2019,2010,,,,,,,
IA-2009-06,Não,ESJ,2009,2000,,,,,,,
19957-007410-2023-13,Não,PCTC,2023,2020,,,,,,,
19957-009327-2023-71,Não,PCTC,2023,2020,,,,,,,
RJ-2005-05132,Não,ESJ,2005,2000,,,,,,,
RJ-2009-01365,Não,ESJ,2009,2000,,,,,,,
RJ-2007-11851,Não,ESJ,2007,2000,,,,,,,
19957-006958-2017-90,Não,ESJ,2017,2010,,,,,,,
RJ-2012-12201,Não,ESJ,2012,2010,,,,,,,
IA-2005-10,Não,PCTC,2005,2000,,,,,,,
